PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Banaybanay,1009.21,627.1,-,2.3883,5.4632,10.0597,0,8.7787,6.6362,7.5612,7.8784,8.9893
Banayoyo,299.86,186.32,-,16.2406,11.4036,10.136,0,9.5643,9.5156,9.4831,6.9858,8.6197
Banga (AK),364.31,226.37,-,9.1983,11.1082,8.8695,0,10.3834,9.9377,8.5867,8.4953,7.3361
Banga (SC),998.93,620.71,14.0326,16.363,10.9124,10.4714,0,11.0814,11.1343,10.0739,7.4593,9.3091
Bangar,187.94,116.78,-,-,4.1013,10.425,0,11.5594,11.5343,10.4929,8.8381,8.4415
Bangued,337.38,209.64,15.3553,15.1201,7.673,11.6368,0,10.785,9.9299,9.4543,7.2348,9.1142
Bangui,440.41,273.66,16.792,16.512,11.7885,10.4016,0,10.7117,10.2567,10.978,9.9963,8.6198
Bani,212.62,132.12,-,10.1515,9.7341,9.289,0,9.4102,10.272,7.5345,8.1587,8.761
Banisilan,885.27,550.08,12.9909,12.4209,7.6265,10.3061,0,9.8891,9.8939,8.7706,7.4802,8.8245
Bansalan,982.54,610.52,10.4784,11.4414,11.8003,10.2802,0,11.4457,11.1137,10.6825,8.2814,10.7263
Bansud,198.24,123.18,-,9.6253,6.3333,8.5246,0,7.2748,6.2372,4.7355,6.3806,8.3555
Bantay,339.61,211.03,-,9.5256,10.1046,12.5129,0,12.2314,12.7578,11.8332,8.9264,9.2472
Bantayan Island,497.59,309.19,10.2459,10.3533,10.7447,9.091,0,10.8833,10.6995,9.7236,7.4982,8.7862
Banton,217.65,135.24,-,-,-,-,0,1.4713,8.0862,7.0616,6.4843,6.837
Baras (CT),380.69,236.55,-,-,-,-,-,6.9778,6.613,9.1348,6.4693,6.8225
Baras (RL),32.55,20.22,-,13.1749,9.2946,13.1138,0,12.9648,12.8156,10.6618,9.2527,8.6448
Barbaza,392.55,243.92,-,-,6.1925,4.6821,0,9.8145,10.5024,7.212,6.0437,6.0634
Barcelona,392.47,243.87,-,-,7.8722,9.2281,0,9.2812,9.2207,9.5645,7.6202,9.4014
Barili,567.7,352.75,-,11.9527,10.9498,7.4751,0,9.9922,10.0888,10.5646,7.0339,7.107
Barira,872.53,542.16,-,-,-,-,-,-,-,9.3893,7.3908,7.2403
Barlig,277.58,172.48,-,-,6.2882,6.8868,0,7.3017,9.2581,10.1365,8.42,8.1628
Barobo,874.38,543.32,12.9132,16.4149,8.8805,10.1337,0,11.6784,11.3515,8.7464,5.9905,5.935
Barotac Nuevo,450.47,279.91,-,2.824,5.4473,6.4033,0,9.599,10.3735,9.5629,7.3317,8.9131
Barotac Viejo,443.91,275.83,-,9.2532,7.72,11.9388,0,10.6245,11.1823,9.7337,7.555,6.2635
Baroy,790.48,491.18,-,14.3419,6.9402,10.9348,0,10.0217,8.9333,8.7238,8.0744,5.8532
Barugo,545.15,338.74,-,6.3248,9.6468,10.6069,0,11.5105,11.2095,9.7563,7.1685,8.2488
Basay,602.73,374.52,-,1.8753,6.0833,10.8523,0,10.2851,10.1567,9.6008,8.3883,6.939
Basco,658.94,409.45,7.8749,12.132,7.7029,7.5339,0,6.152,10.2943,12.0743,3.4618,6.297
Basey,575.93,357.86,10.9574,6.0537,6.979,7.98,0,7.2639,9.0381,9.5248,8.0372,8.0342
Basilisa,704.92,438.02,-,11.8718,5.5538,8.9743,0,9.3876,9.0567,8.9365,8.3574,7.8894
Basista,154.15,95.78,-,11.4827,8.4273,8.734,0,8.8483,11.1781,9.4887,4.7914,8.6633
Basud (CN),222.17,138.05,-,-,8.2633,9.2582,0,10.1952,9.86,9.1314,7.3421,6.9343
Batac,388.8,241.59,16.2813,19.8804,13.6852,10.8284,11.1121,9.0293,10.4409,9.1539,8.9211,9.7282
Batad,421.23,261.74,-,10.5624,6.8625,7.4398,0,8.9085,10.9635,10.4374,7.4937,7.9649
Batan,377.14,234.34,-,-,-,5.0741,0,8.1178,8.3942,6.7463,6.9518,5.25
Batangas,91.15,56.64,16.0838,17.9994,14.767,11.3104,12.7813,13.2386,12.9719,12.2684,10.7271,10.6545
Bataraza,750.77,466.51,-,9.8705,10.7287,9.7815,0,8.9629,11.5598,10.0404,6.3188,8.676
Bato (CS),292.77,181.92,-,-,3.8059,6.5205,0,10.2065,9.823,6.659,4.5581,7.0267
Bato (CT),374.84,232.91,-,-,11.4463,10.2247,0,10.9423,10.4319,11.4749,7.5962,7.76
Bato (LE),568.46,353.22,-,0.26,5.4033,7.0648,0,10.4432,11.1499,10.1461,6.0547,5.088
Batuan (BL),636.98,395.8,-,2.6088,4.9286,8.7683,0,10.642,10.7615,10.6866,6.2243,7.011
Batuan (MS),388.2,241.21,-,-,-,-,-,1.2418,4.766,6.9263,5.0314,5.1132
Bauan,88.06,54.72,12.7768,14.0445,10.1232,10.2676,0,11.5967,11.1728,9.8793,7.6427,9.6461
Bauang,227.29,141.23,17.266,18.4062,11.9794,10.5844,0,10.8295,11.0374,11.0183,8.1626,9.68
Bauko,267.08,165.96,-,5.3955,12.0893,13.2708,0,12.1397,10.7064,10.0776,8.8733,7.8182
Baungon,801.12,497.79,-,10.3747,12.8584,9.0543,0,9.9203,6.743,5.7825,6.9969,7.2621
Bautista,167.85,104.29,-,8.7668,8.9082,11.5781,0,10.6023,11.2823,9.9989,8.8301,8.2389
Bay,57.13,35.5,-,5.5985,10.3581,8.2289,0,6.7062,7.8752,8.593,8.1733,9.1306
Bayabas,850.38,528.4,-,14.5787,9.2702,10.212,0,9.6219,9.7646,9.1283,7.0099,8.2515
Bayambang,147.33,91.55,-,6.0337,11.9407,11.53,0,11.128,11.5672,10.6002,8.5306,10.0382
