LGUs,Distance (km),Distance (mi)
Mapandan,170.05,105.67
Mapun,884.34,549.51
Marabut,590.3,366.8
Maragondon,42.9,26.66
Maragusan,983.92,611.38
Maramag,876.48,544.62
Marantao,818.06,508.32
Marawi,815.86,506.95
Marcos,384.78,239.09
Margosatubig,815.77,506.89
Maria,384.78,239.09
Maria Aurora,145.39,90.34
Maribojoc,621.96,386.47
Marihatag,864.13,536.95
Marikina,15.85,9.85
Marilao,19.98,12.42
Maripipi,477.65,296.8
Mariveles,54.87,34.09
Marogong,840.34,522.16
Masantol,44.75,27.81
Masbate,376.53,233.96
Masinloc,153.14,95.16
Masiu,837.36,520.31
Maslog,530.58,329.69
Mataasnakahoy,72.19,44.86
Matag-Ob,538.26,334.46
Matalam,937.38,582.46
Matalom,632.53,393.04
Matanao,988.47,614.21
Matanog,868.47,539.64
Mati,"1,023.64",636.06
Matnog,405.02,251.66
Matuguinao,502.42,312.19
Matungao,796.99,495.23
Mauban,96.93,60.23
Mawab,953.71,592.61
Mayantoc,131.02,81.41
Maydolong,598.23,371.72
Mayorga,599.83,372.72
Mayoyao,267.12,165.98
Medellin,503.65,312.95
Medina,770.47,478.75
Mendez,52.29,32.49
Mercedes,226.02,140.45
Mercedes (ES),644.17,400.27
Merida,561.75,349.06
Mexico,58.88,36.58
Meycauayan,19.93,12.38
Miag-ao,460.49,286.13
Midsalip,771.37,479.31
Midsayap,909.22,564.96
Milagros,380.99,236.73
Milaor,261.45,162.46
Mina,442.97,275.25
Minalabac,263.46,163.71
Minalin,50.38,31.3
Minglanilla,572.73,355.88
Mlang,951.92,591.49
Moalboal,579.28,359.95
Mobo,382.67,237.78
Mogpog,155.93,96.89
Moises Padilla,527.61,327.84
Molave,772.34,479.91
Moncada,133.71,83.08
Mondragon,469.5,291.73
Monreal,362.85,225.47
Morong (BN),76.57,47.58
Morong (RL),29.85,18.55
Montevista,940.16,584.19
Motiong,535.61,332.81
Mulanay,193.99,120.54
Mulondo,826.53,513.58
Munai,804.71,500.02
Muntinlupa,19.13,11.89
Murcia,497,308.82
Mutia,747.67,464.58
Naawan,773.21,480.45
Nabas,321.92,200.03
Nabua,289.85,180.1
Nabunturan,948.22,589.19
Naga (CS),266.6,165.66
Naga (CU),573.75,356.51
Naga (ZS),779.03,484.07
Nagbukel,320.59,199.2
Nagcarlan,69,42.88
Nagtipunan,194.85,121.07
Naguilian (IA),285.41,177.34
Naguilian (LU),224.07,139.23
Naic,36.56,22.72
Nampicuan,133.13,82.72
Narra,653.74,406.22
Narvacan,319.86,198.75
Nasipit,782.8,486.41
Nasugbu,66.98,41.62
Natividad,162.15,100.75
Natonin,279.23,173.51
Naujan,144.34,89.69
Naval,499.94,310.65
Navotas,8.92,5.54
New Bataan,963.33,598.58
New Corella,938.93,583.43
New Lucena,447.59,278.12
New Washington,363.88,226.1
Norala,981.39,609.81
Northern Kabuntalan,901.9,560.42
