PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Basay,602.73,374.52,-,-,-,15.2687,0,16.8922,16.898,12.4077,9.5275,10.0112
Basco,658.94,409.45,-,-,-,12.7595,0,12.2339,13.7493,10.3959,9.9227,10.3812
Basey,575.93,357.86,-,-,-,15.4948,0,16.1408,16.9834,12.1466,11.371,11.1419
Basilisa,704.92,438.02,-,-,-,15.8772,0,13.9022,15.9923,13.25,10.8479,10.8075
Basista,154.15,95.78,-,-,-,13.9976,0,15.6043,17.0449,15.8406,12.0499,12.3504
Basud (CN),222.17,138.05,-,-,-,10.8757,0,15.1886,14.8041,12.0612,10.2341,10.7057
Batac,388.8,241.59,-,-,-,16.0718,16.9552,15.6474,16.8903,13.6787,11.6199,11.6483
Batad,421.23,261.74,-,-,-,13.6761,0,15.3985,17.3742,13.8633,11.5814,12.1563
Batan,377.14,234.34,-,-,-,1.6492,0,16.263,16.5253,13.2441,11.3658,11.2728
Batangas,91.15,56.64,-,-,-,17.4795,17.7075,18.3148,18.0728,13.8952,11.5946,11.6392
Bataraza,750.77,466.51,-,-,-,13.6344,0,16.2564,17.2463,13.9668,11.4905,11.4431
Bato (CS),292.77,181.92,-,-,-,14.336,0,15.8711,13.324,9.6142,10.4126,10.8018
Bato (CT),374.84,232.91,-,-,-,16.9405,0,17.1309,18.4005,15.0298,12.5629,11.2247
Bato (LE),568.46,353.22,-,-,-,12.8292,0,16.6009,16.2861,12.8818,11.3662,8.9781
Batuan (BL),636.98,395.8,-,-,-,15.074,0,16.2199,16.1901,12.7136,10.8668,10.8616
Batuan (MS),388.2,241.21,-,-,-,-,-,12.5545,13.6318,12.6578,10.8561,10.4649
Bauan,88.06,54.72,-,-,-,16.4672,0,16.882,17.2349,13.3797,11.3943,11.3279
Bauang,227.29,141.23,-,-,-,16.0802,0,16.8758,17.3104,14.2603,11.9944,12.2582
Bauko,267.08,165.96,-,-,-,14.0828,0,16.2746,17.3407,12.8945,11.1013,11.0429
Baungon,801.12,497.79,-,-,-,15.3357,0,16.6087,15.5699,12.1002,10.3701,11.419
Bautista,167.85,104.29,-,-,-,15.6309,0,16.7427,16.8638,13.9467,11.6421,11.5558
Bay,57.13,35.5,-,-,-,15.759,0,15.6729,15.7192,12.3937,11.3808,11.3087
Bayabas,850.38,528.4,-,-,-,13.4441,0,10.0648,12.819,12.5536,10.9879,10.6411
Bayambang,147.33,91.55,-,-,-,14.6165,0,16.977,17.5081,14.3978,12.411,12.7483
