PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Boston,952.06,591.58,-,5.2027,3.0467,2.6466,0,3.7903,5.2212,4.4132,4.1271,2.8051
Botolan,123.57,76.79,-,6.4155,3.9215,2.9572,0,3.4719,3.6117,3.7054,3.8205,2.9698
Braulio E. Dujali,943.31,586.15,-,6.4252,3.4939,3.8005,0,5.1378,5.4766,5.3962,4.9311,4.034
Buadiposo-Buntong,822.66,511.18,-,-,-,-,-,-,-,3.6008,3.9552,2.1003
Bubong,820.5,509.83,-,-,-,-,-,-,-,3.7101,3.8216,0.5586
Bucay,329.99,205.05,-,8.7528,7.8069,4.0061,0,4.8533,6.3963,6.8083,5.9256,4.9103
Bucloc,318.18,197.71,-,-,-,3.02,0,3.2468,2.6666,3.6096,2.7911,1.3521
Buenavista (AN),789.96,490.86,8.68,9.0107,7.1491,4.7154,0,4.4683,4.7112,5.6596,4.2128,3.3256
Buenavista (BL),607.1,377.23,-,6.8841,7.003,3.5924,0,3.6395,5.7839,5.2638,4.4389,2.8026
Buenavista (GS),473.22,294.05,5.1192,7.6977,7.4761,4.4395,0,3.8715,4.1893,4.8043,5.6854,3.6054
